size(sqft),bedrooms,floors,age
1244.0,3.0,1.0,64.0
1947.0,3.0,2.0,17.0
1725.0,3.0,2.0,42.0
1959.0,3.0,2.0,15.0
1314.0,2.0,1.0,14.0
864.0,2.0,1.0,66.0
1836.0,3.0,1.0,17.0
1026.0,3.0,1.0,43.0
3194.0,4.0,2.0,87.0
788.0,2.0,1.0,80.0
1200.0,2.0,2.0,17.0
1557.0,2.0,1.0,18.0
1430.0,3.0,1.0,20.0
1220.0,2.0,1.0,15.0
1092.0,2.0,1.0,64.0
848.0,1.0,1.0,17.0
1682.0,3.0,2.0,23.0
1768.0,3.0,2.0,18.0
1040.0,3.0,1.0,44.0
1652.0,2.0,1.0,21.0
1088.0,2.0,1.0,35.0
1316.0,3.0,1.0,14.0
1593.0,0.0,1.0,20.0
972.0,2.0,1.0,73.0
1097.0,3.0,1.0,37.0
1004.0,2.0,1.0,51.0
904.0,3.0,1.0,55.0
1694.0,3.0,1.0,13.0
1073.0,2.0,1.0,100.0
1419.0,3.0,2.0,19.0
1164.0,3.0,1.0,52.0
1935.0,3.0,2.0,12.0
1216.0,2.0,2.0,74.0
2482.0,4.0,2.0,16.0
1200.0,2.0,1.0,18.0
1840.0,3.0,2.0,20.0
1851.0,3.0,2.0,57.0
1660.0,3.0,2.0,19.0
1096.0,2.0,2.0,97.0
1775.0,3.0,2.0,28.0
2030.0,4.0,2.0,45.0
1784.0,4.0,2.0,107.0
1073.0,2.0,1.0,100.0
1552.0,3.0,1.0,16.0
1953.0,3.0,2.0,16.0
1224.0,2.0,2.0,12.0
1616.0,3.0,1.0,16.0
816.0,2.0,1.0,58.0
1349.0,3.0,1.0,21.0
1571.0,3.0,1.0,14.0
1486.0,3.0,1.0,57.0
1506.0,2.0,1.0,16.0
1097.0,3.0,1.0,27.0
1764.0,3.0,2.0,24.0
1208.0,2.0,1.0,14.0
1470.0,3.0,2.0,24.0
1768.0,3.0,2.0,84.0
1654.0,3.0,1.0,19.0
1029.0,3.0,1.0,60.0
1120.0,2.0,2.0,16.0
1150.0,3.0,1.0,62.0
816.0,2.0,1.0,39.0
1040.0,3.0,1.0,25.0
1392.0,3.0,1.0,64.0
1603.0,3.0,2.0,29.0
1215.0,3.0,1.0,63.0
1073.0,2.0,1.0,100.0
2599.0,4.0,2.0,22.0
1431.0,3.0,1.0,59.0
2090.0,3.0,2.0,26.0
1790.0,4.0,2.0,49.0
1484.0,3.0,2.0,16.0
1040.0,3.0,1.0,25.0
1431.0,3.0,1.0,22.0
1159.0,3.0,1.0,53.0
1547.0,3.0,2.0,12.0
1983.0,3.0,2.0,22.0
1056.0,3.0,1.0,53.0
1180.0,2.0,1.0,99.0
1358.0,2.0,1.0,17.0
960.0,3.0,1.0,51.0
1456.0,3.0,2.0,16.0
1446.0,3.0,2.0,25.0
1208.0,2.0,1.0,15.0
1553.0,3.0,2.0,16.0
882.0,3.0,1.0,49.0
2030.0,4.0,2.0,45.0
1040.0,3.0,1.0,62.0
1616.0,3.0,1.0,16.0
803.0,2.0,1.0,80.0
1430.0,3.0,2.0,21.0
1656.0,3.0,1.0,61.0
1541.0,3.0,1.0,16.0
948.0,3.0,1.0,53.0
1224.0,2.0,2.0,12.0
1432.0,2.0,1.0,43.0
1660.0,3.0,2.0,19.0
1212.0,3.0,1.0,20.0
1050.0,2.0,1.0,65.0
